time_s,force_N
1.938000,0.005800
2.031000,0.007500
2.141000,0.007400
2.235000,0.008200
2.344000,0.009100
2.438000,0.009900
2.547000,0.009600
2.641000,0.011600
2.735000,0.012300
2.844000,0.013000
2.938000,0.013200
3.047000,0.014300
3.141000,0.014900
3.235000,0.014100
3.344000,0.014900
3.438000,0.014600
3.547000,0.014900
3.641000,0.015600
3.750000,0.015500
3.844000,0.016300
3.938000,0.015900
4.047000,0.017200
4.141000,0.017800
4.235000,0.018200
4.344000,0.018900
4.438000,0.019000
4.547000,0.019700
4.641000,0.019400
4.750000,0.019500
4.844000,0.021200
4.953000,0.021400
5.047000,0.021600
5.141000,0.022400
5.250000,0.022700
5.344000,0.022400
5.438000,0.023100
5.547000,0.024200
5.656000,0.024300
5.735000,0.024700
5.844000,0.025100
5.938000,0.025500
6.047000,0.026300
6.156000,0.026900
6.250000,0.026800
6.344000,0.026500
6.438000,0.027200
6.547000,0.028200
6.641000,0.028600
6.750000,0.028300
6.844000,0.029300
6.953000,0.029900
7.047000,0.030200
7.156000,0.030400
7.250000,0.030400
7.360000,0.031600
7.453000,0.031500
7.547000,0.032500
7.656000,0.032800
7.750000,0.033100
7.844000,0.032600
7.953000,0.033100
8.047000,0.033300
8.156000,0.034300
8.250000,0.034000
8.360000,0.034000
8.453000,0.034000
8.547000,0.035500
8.656000,0.035400
8.750000,0.036300
8.860000,0.037300
8.953000,0.036900
9.047000,0.036400
9.156000,0.036600
9.250000,0.037700
9.360000,0.037800
9.453000,0.037800
9.563000,0.037800
9.656000,0.038500
9.750000,0.039200
9.860000,0.039700
9.953000,0.040100
10.063000,0.040100
10.156000,0.039900
10.266000,0.040300
10.344000,0.040500
10.453000,0.040400
10.563000,0.040700
10.656000,0.041400
10.766000,0.042000
10.860000,0.042200
10.953000,0.043000
11.063000,0.041900
11.156000,0.042100
11.266000,0.042000
11.360000,0.043100
11.469000,0.043500
11.563000,0.042200
11.656000,0.043400
11.766000,0.043200
11.860000,0.043100
11.969000,0.044200
12.063000,0.044700
12.172000,0.044900
12.266000,0.045200
12.360000,0.019700
12.469000,-0.012500
12.563000,0.030200
12.656000,0.073800
12.766000,0.056500
12.860000,0.056500
12.969000,0.055800
13.063000,0.055800
13.172000,0.055400
13.266000,0.055400
13.375000,0.055400
13.469000,0.053600
13.563000,0.053900
13.672000,0.055100
13.766000,0.054300
13.860000,0.055600
13.953000,0.048500
14.063000,0.023700
14.172000,0.024200
14.266000,0.029100
14.360000,0.028900
14.469000,0.034300
14.578000,0.038300
14.672000,0.044600
14.766000,0.033200
14.860000,0.031000
14.969000,0.033000
15.063000,0.032400
15.172000,0.031900
15.266000,0.030200
15.360000,0.029200
15.469000,0.019800
15.578000,0.021100
15.672000,0.039300
15.766000,0.062800
15.860000,0.059200
15.969000,0.058200
16.078000,0.058500
16.172000,0.058900
16.266000,0.059500
16.375000,0.060400
16.469000,0.059500
16.578000,0.060700
16.672000,0.043800
16.781000,0.033200
16.875000,0.039800
16.985000,0.047400
17.078000,0.040300
17.172000,0.036800
17.281000,0.041300
17.375000,0.055400
17.469000,0.076100
17.578000,0.033900
17.672000,0.053600
17.781000,0.075500
17.875000,0.070300
17.969000,0.082700
18.078000,0.095100
18.172000,0.092200
18.281000,0.085000
18.375000,0.086800
18.485000,0.082700
18.578000,0.082700
18.688000,0.074900
18.766000,0.075800
18.875000,0.080000
18.969000,0.076800
19.078000,0.075800
19.188000,0.075300
19.281000,0.065200
19.375000,0.069100
19.469000,0.064500
19.578000,0.071400
19.672000,0.075800
19.781000,0.088200
19.875000,0.081500
19.985000,0.087700
20.078000,0.086000
20.188000,0.086500
20.281000,0.077700
20.391000,0.098100
20.485000,0.136700
20.578000,0.126400
20.688000,0.108900
20.781000,0.109300
20.891000,0.063000
20.985000,0.042300
21.094000,0.045500
21.188000,0.031700
21.281000,0.035800
21.375000,0.039600
21.485000,0.033800
21.594000,0.062600
21.688000,0.060500
21.781000,0.070100
21.891000,0.069900
21.985000,0.070100
22.094000,0.069000
22.188000,0.069600
22.281000,0.069300
22.391000,0.069400
22.485000,0.068600
22.594000,0.069000
22.688000,0.068400
22.797000,0.068000
22.891000,0.068800
22.985000,0.068500
23.078000,0.069200
23.188000,0.068600
23.297000,0.068200
23.391000,0.067600
23.485000,0.067500
23.578000,0.068600
23.688000,0.068700
23.781000,0.068000
23.891000,0.068500
23.985000,0.067100
24.094000,0.068200
24.203000,0.067800
24.297000,0.067800
24.391000,0.068200
24.500000,0.067900
24.594000,0.068500
24.703000,0.067900
24.797000,0.067600
24.891000,0.067900
25.000000,0.068200
25.094000,0.069100
25.188000,0.069600
25.297000,0.069500
25.391000,0.069200
25.500000,0.068800
25.594000,0.068800
25.703000,0.069100
25.797000,0.070000
25.891000,0.069600
26.000000,0.070000
26.094000,0.069500
26.188000,0.069400
26.297000,0.070300
26.406000,0.070700
26.500000,0.070100
26.594000,0.070500
26.703000,0.071000
26.797000,0.069600
26.906000,0.069200
27.000000,0.069500
27.110000,0.069400
27.203000,0.068800
27.297000,0.068900
27.406000,0.069400
27.500000,0.069300
27.594000,0.069100
27.703000,0.068700
27.813000,0.069400
27.906000,0.068600
28.000000,0.069300
28.110000,0.068600
28.203000,0.069800
28.313000,0.068500
28.391000,0.069600
28.500000,0.069900
28.610000,0.070200
28.703000,0.069700
28.797000,0.069900
28.906000,0.068500
29.000000,0.069500
29.110000,0.068900
29.203000,0.068900
29.297000,0.069500
29.406000,0.070300
29.516000,0.069900
29.610000,0.069600
29.703000,0.069400
29.797000,0.070100
29.906000,0.068800
30.016000,0.070100
30.110000,0.069800
30.203000,0.069800
30.313000,0.070100
30.406000,0.070000
30.516000,0.069900
30.610000,0.070400
30.703000,0.070000
30.813000,0.069900
30.906000,0.070300
